,page,会社名,勤務地
0,1,株式会社リクルートラ,＜転勤なし！全国で積
1,1,JCSロジスコ株式会,原則自由 ■東京都:
2,1,株式会社カーチスホー,■全国のカーチス店舗
3,1,ホーチキ株式会社 |,【全国の支店・営業所
4,1,株式会社スタッフサー,【転勤なし】希望・通
5,1,株式会社リクルートR,【全国30都府県】 
6,1,DAITO株式会社 ,◎社用車通勤可 ◎遠
7,1,ソフトバンク合同募集,【全国47都道府県の
8,1,株式会社リクルートラ,＜転勤なし！全国で積
9,1,株式会社ノジマ | ,希望勤務地への配属率
10,1,税理士法人総合経営サ,【本店】 東京都北区
11,1,株式会社平和マネキン,東京、熊本、大分募集
12,1,株式会社ビッグモータ,転勤なし/全国に勤務
13,1,京王自動車グループ合,【転勤なし/U・Ｉタ
14,1,ムーヴアクション株式,★勤務地は希望を考慮
15,1,株式会社LAVA I,【東京本社】および全
16,1,レグセントジョイラー,下記いずれかのエリア
17,1,株式会社貴順 | ★,直行直帰OK 宮城県
18,1,株式会社リクルートラ,＜転勤なし！全国で積
19,1,株式会社ノジマ | ,希望勤務地への配属率
20,1,株式会社リプロワール,本店／横浜支店／大阪
21,1,株式会社アイダ設計 ,★埼玉、神奈川、栃木
22,1,UTエイム株式会社 ,【転勤なし】全国40
23,1,株式会社トップ | ,希望を考慮し、適性に
24,1,UTエイム株式会社 ,【転勤なし】全国40
25,1,株式会社シンコーハイ,転居を伴う転勤なし／
26,1,株式会社アーキ・ジャ,全国47都道府県（首
27,1,株式会社リクルートR,【全国30都府県】 
28,1,クレストテクノロジー,【 自宅から直行直帰
29,1,UTエイム株式会社 ,【転勤なし】全国40
30,1,UTエイム株式会社 ,【転勤なし】全国40
31,1,株式会社アウトソーシ,≪希望のエリアで働け
32,1,日立建機日本株式会社,《U・Iターン歓迎》
33,1,株式会社ビッグモータ,☆転勤なし！全国募集
34,1,日立建機日本株式会社,《エリア外の転勤なし
35,1,株式会社アミング |,★石川/富山/福井/
36,1,株式会社マイナビ |,★全国の拠点で募集中
37,1,日立建機日本株式会社,《エリア外の転勤なし
38,1,株式会社ビッグモータ,転勤なし/全国に勤務
39,1,株式会社共立メンテナ,【新規開業予定】 ★
40,1,UTエイム株式会社 ,【転勤なし】全国40
41,1,株式会社VSN | ,東京・名古屋・大阪の
42,1,株式会社YLD | ,◆吉祥寺駅に本社移転
43,1,ダイレックス株式会社,全国のダイレックス店
44,1,株式会社ネクステージ,引っ越し無しの地域採
45,1,株式会社ミュゼプラチ,◎会社都合による転勤
46,1,株式会社VSN | ,東京・名古屋・大阪の
47,1,株式会社SHIFT ,東京・大阪・名古屋・
48,1,株式会社トライアルカ,全国各地のトライアル
49,1,株式会社夢真 | 5,全国いずれかのプロジ
50,3,藤田エンジニアリング,【本社】 群馬県高崎
51,3,株式会社日設 | 【,希望勤務地を考慮しま
52,3,株式会社刷新,【東京支店】 東京都
53,3,ホクシンハウス株式会,長野市、松本市、佐久
54,3,株式会社フジキン |,岩手県奥州市江刺岩谷
55,3,長野ドライルーブ株式,【箕輪工場】 長野県
56,3,ホクシンハウス株式会,長野市、松本市、佐久
